CIE10,DIAGNO,CLASIFICA,CDIAG
E63,OTRAS DEFICIENCIAS NUTRICIONALES,OTRAS DEFICIENCIAS NUTRICIONALES,E63       OTRAS DEFICIENCIAS NUTRICIONALES
E630,DEFICIENCIA DE ACIDOS GRASOS ESENCIALES AGE,OTRAS DEFICIENCIAS NUTRICIONALES,E630      DEFICIENCIA DE ACIDOS GRASOS ESENCIALES AGE
E631,DESEQUILIBRIO DE LOS CONSTITUYENTES EN LA DIETA,OTRAS DEFICIENCIAS NUTRICIONALES,E631      DESEQUILIBRIO DE LOS CONSTITUYENTES EN LA DIETA
E638,OTRAS DEFICIENCIAS NUTRICIONALES ESPECIFICADAS,OTRAS DEFICIENCIAS NUTRICIONALES,E638      OTRAS DEFICIENCIAS NUTRICIONALES ESPECIFICADAS
E639,DEFICIENCIA NUTRICIONAL NO ESPECIFICADA,OTRAS DEFICIENCIAS NUTRICIONALES,E639      DEFICIENCIA NUTRICIONAL NO ESPECIFICADA
E64,SECUELAS DE LA DESNUTRICION Y DE OTRAS DEFICIENCIAS NUTRICIONALES,OTRAS DEFICIENCIAS NUTRICIONALES,E64       SECUELAS DE LA DESNUTRICION Y DE OTRAS DEFICIENCIAS NUTRICIONALES
E640,SECUELAS DE LA DESNUTRICION PROTEICOCALORICA,OTRAS DEFICIENCIAS NUTRICIONALES,E640      SECUELAS DE LA DESNUTRICION PROTEICOCALORICA
E641,SECUELAS DE LA DEFICIENCIA DE VITAMINA A,OTRAS DEFICIENCIAS NUTRICIONALES,E641      SECUELAS DE LA DEFICIENCIA DE VITAMINA A
E642,SECUELAS DE LA DEFICIENCIA DE VITAMINA C,OTRAS DEFICIENCIAS NUTRICIONALES,E642      SECUELAS DE LA DEFICIENCIA DE VITAMINA C
E643,SECUELAS DEL RAQUITISMO,OTRAS DEFICIENCIAS NUTRICIONALES,E643      SECUELAS DEL RAQUITISMO
E648,SECUELAS DE OTRAS DEFICIENCIAS NUTRICIONALES,OTRAS DEFICIENCIAS NUTRICIONALES,E648      SECUELAS DE OTRAS DEFICIENCIAS NUTRICIONALES
E649,SECUELAS DE LA DEFICIENCIA NUTRICIONAL NO ESPECIFICADA,OTRAS DEFICIENCIAS NUTRICIONALES,E649      SECUELAS DE LA DEFICIENCIA NUTRICIONAL NO ESPECIFICADA
E65,ADIPOSIDAD LOCALIZADA,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E65       ADIPOSIDAD LOCALIZADA
E66,OBESIDAD,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E66       OBESIDAD
E660,OBESIDAD DEBIDA A EXCESO DE CALORIAS,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E660      OBESIDAD DEBIDA A EXCESO DE CALORIAS
E661,OBESIDAD INDUCIDA POR DROGAS,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E661      OBESIDAD INDUCIDA POR DROGAS
E662,OBESIDAD EXTREMA CON HIPOVENTILACION ALVEOLAR,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E662      OBESIDAD EXTREMA CON HIPOVENTILACION ALVEOLAR
E668,OTROS TIPOS DE OBESIDAD,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E668      OTROS TIPOS DE OBESIDAD
E669,OBESIDAD NO ESPECIFICADA,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E669      OBESIDAD NO ESPECIFICADA
E67,OTROS TIPOS DE HIPERALIMENTACION,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E67       OTROS TIPOS DE HIPERALIMENTACION
E670,HIPERVITAMINOSIS A,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E670      HIPERVITAMINOSIS A
E671,HIPERCAROTINEMIA,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E671      HIPERCAROTINEMIA
E672,SINDROME DE MEGAVITAMINA B6,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E672      SINDROME DE MEGAVITAMINA B6
E673,HIPERVITAMINOSIS D,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E673      HIPERVITAMINOSIS D
E678,OTROS TIPOS DE HIPERALIMENTACION ESPECIFICADOS,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E678      OTROS TIPOS DE HIPERALIMENTACION ESPECIFICADOS
E68,SECUELAS DE HIPERALIMENTACION,OBESIDAD Y OTROS TIPO DE HIPERALIMENTACIÓN,E68       SECUELAS DE HIPERALIMENTACION
E70,TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS,TRASTORNOS METABÓLICOS,E70       TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E700,FENILCETONURIA CLASICA,TRASTORNOS METABÓLICOS,E700      FENILCETONURIA CLASICA
E701,OTRAS HIPERFENILALANINEMIAS,TRASTORNOS METABÓLICOS,E701      OTRAS HIPERFENILALANINEMIAS
E702,TRASTORNOS DEL METABOLISMO DE LA TIROSINA,TRASTORNOS METABÓLICOS,E702      TRASTORNOS DEL METABOLISMO DE LA TIROSINA
E703,ALBINISMO,TRASTORNOS METABÓLICOS,E703      ALBINISMO
E708,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS,TRASTORNOS METABÓLICOS,E708      OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS
E709,TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E709      TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS NO ESPECIFICADO
E71,TRASTORNOS DEL METABOLISMO DE AMINOACIDOS DE CADENA RAMIFICADA Y DE ACIDOS GRASOS,TRASTORNOS METABÓLICOS,E71       TRASTORNOS DEL METABOLISMO DE AMINOACIDOS DE CADENA RAMIFICADA Y DE ACIDOS GRASOS
E710,ENFERMEDAD DE LA ORINA EN JARABE DE ARCE,TRASTORNOS METABÓLICOS,E710      ENFERMEDAD DE LA ORINA EN JARABE DE ARCE
E711,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA,TRASTORNOS METABÓLICOS,E711      OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS DE CADENA RAMIFICADA
E712,OTROS TRASTORNOS DEL METABOLISMO DE AMINOACIDOS CADENA RAMIFICADA NO ESPECIFICADOS,TRASTORNOS METABÓLICOS,E712      OTROS TRASTORNOS DEL METABOLISMO DE AMINOACIDOS CADENA RAMIFICADA NO ESPECIFICADOS
E713,TRASTORNOS DEL METABOLISMO DE LOS ACIDOS GRASOS,TRASTORNOS METABÓLICOS,E713      TRASTORNOS DEL METABOLISMO DE LOS ACIDOS GRASOS
E72,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS,TRASTORNOS METABÓLICOS,E72       OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS
E720,TRASTORNOS DEL TRANSPORTE DE LOS AMINOACIDOS,TRASTORNOS METABÓLICOS,E720      TRASTORNOS DEL TRANSPORTE DE LOS AMINOACIDOS
E721,TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS,TRASTORNOS METABÓLICOS,E721      TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS
E722,TRASTORNOS DEL METABOLISMO DEL CICLO DE LA UREA,TRASTORNOS METABÓLICOS,E722      TRASTORNOS DEL METABOLISMO DEL CICLO DE LA UREA
E723,TRASTORNOS DEL METABOLISMO DE LA LISINA Y LA HIDROXILISINA,TRASTORNOS METABÓLICOS,E723      TRASTORNOS DEL METABOLISMO DE LA LISINA Y LA HIDROXILISINA
E724,TRASTORNOS DEL METABOLISMO DE LA ORNITINA,TRASTORNOS METABÓLICOS,E724      TRASTORNOS DEL METABOLISMO DE LA ORNITINA
E725,TRASTORNOS DEL METABOLISMO DE LA GLICINA,TRASTORNOS METABÓLICOS,E725      TRASTORNOS DEL METABOLISMO DE LA GLICINA
E728,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS AMINOACIDOS,TRASTORNOS METABÓLICOS,E728      OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS AMINOACIDOS
E729,TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E729      TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS NO ESPECIFICADO
E73,INTOLERANCIA A LA LACTOSA,TRASTORNOS METABÓLICOS,E73       INTOLERANCIA A LA LACTOSA
E730,DEFICIENCIA CONGENITA DE LACTASA,TRASTORNOS METABÓLICOS,E730      DEFICIENCIA CONGENITA DE LACTASA
E731,DEFICIENCIA SECUNDARIA DE LACTASA,TRASTORNOS METABÓLICOS,E731      DEFICIENCIA SECUNDARIA DE LACTASA
E738,OTROS TIPOS DE INTOLERANCIA A LA LACTOSA,TRASTORNOS METABÓLICOS,E738      OTROS TIPOS DE INTOLERANCIA A LA LACTOSA
E739,INTOLERANCIA A LA LACTOSA NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E739      INTOLERANCIA A LA LACTOSA NO ESPECIFICADA
E74,OTROS TRASTORNOS DEL METABOLISMO DE LOS CARBOHIDRATOS,TRASTORNOS METABÓLICOS,E74       OTROS TRASTORNOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E740,ENFERMEDAD DEL ALMACENAMIENTO DE GLUCOGENO,TRASTORNOS METABÓLICOS,E740      ENFERMEDAD DEL ALMACENAMIENTO DE GLUCOGENO
E741,TRASTORNOS DEL METABOLISMO DE LA FRUCTOSA,TRASTORNOS METABÓLICOS,E741      TRASTORNOS DEL METABOLISMO DE LA FRUCTOSA
E742,TRASTORNO DEL METABOLISMO DE LA GALACTOSA,TRASTORNOS METABÓLICOS,E742      TRASTORNO DEL METABOLISMO DE LA GALACTOSA
E743,OTROS TRASTORNOS DE LA ABSORCION INTESTINAL DE CARBOHIDRATOS,TRASTORNOS METABÓLICOS,E743      OTROS TRASTORNOS DE LA ABSORCION INTESTINAL DE CARBOHIDRATOS
E744,TRASTORNOS DEL METABOLISMO DEL PIRUVATO Y DE LA GLUCONEOGENESIS,TRASTORNOS METABÓLICOS,E744      TRASTORNOS DEL METABOLISMO DEL PIRUVATO Y DE LA GLUCONEOGENESIS
E748,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS CARBOHIDRATOS,TRASTORNOS METABÓLICOS,E748      OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS CARBOHIDRATOS
E749,TRASTORNO DEL METABOLISMO DE LOS CARBOHIDRATOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E749      TRASTORNO DEL METABOLISMO DE LOS CARBOHIDRATOS NO ESPECIFICADO
E75,TRASTORNOS DEL METABOLISMO DE LOS ESFINGOLIPIDOS Y OTROS TRASTORNOS POR ALMACENAMIENTO DE LIPIDOS,TRASTORNOS METABÓLICOS,E75       TRASTORNOS DEL METABOLISMO DE LOS ESFINGOLIPIDOS Y OTROS TRASTORNOS POR ALMACENAMIENTO DE LIPIDOS
E750,GANGLIOSIDOSIS GM2,TRASTORNOS METABÓLICOS,E750      GANGLIOSIDOSIS GM2
E751,OTRAS GANGLIOSIDOSIS,TRASTORNOS METABÓLICOS,E751      OTRAS GANGLIOSIDOSIS
E752,OTRAS ESFINGOLIPIDOSIS,TRASTORNOS METABÓLICOS,E752      OTRAS ESFINGOLIPIDOSIS
E753,ESFINGOLIPIDOSIS NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E753      ESFINGOLIPIDOSIS NO ESPECIFICADA
E754,LIPOFUSCINOSIS CEROIDE NEURONAL,TRASTORNOS METABÓLICOS,E754      LIPOFUSCINOSIS CEROIDE NEURONAL
E755,OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS,TRASTORNOS METABÓLICOS,E755      OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS
E756,TRASTORNO DEL ALMACENAMIENTO DE LIPIDOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E756      TRASTORNO DEL ALMACENAMIENTO DE LIPIDOS NO ESPECIFICADO
E76,TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS,TRASTORNOS METABÓLICOS,E76       TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E760,MUCOPOLISACARIDOSIS TIPO I,TRASTORNOS METABÓLICOS,E760      MUCOPOLISACARIDOSIS TIPO I
E761,MUCOPOLISACARIDOSIS TIPO II,TRASTORNOS METABÓLICOS,E761      MUCOPOLISACARIDOSIS TIPO II
E762,OTRAS MUCOPOLISACARIDOSIS,TRASTORNOS METABÓLICOS,E762      OTRAS MUCOPOLISACARIDOSIS
E763,MUCOPOLISACARIDOSIS NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E763      MUCOPOLISACARIDOSIS NO ESPECIFICADA
E768,OTROS TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS,TRASTORNOS METABÓLICOS,E768      OTROS TRASTORNOS DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS
E769,TRASTORNO DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E769      TRASTORNO DEL METABOLISMO DE LOS GLUCOSAMINOGLICANOS NO ESPECIFICADO
E77,TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS,TRASTORNOS METABÓLICOS,E77       TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E770,DEFECTOS EN LA MODIFICACION POSTRASLACIONAL DE ENZIMAS LISOSOMALES,TRASTORNOS METABÓLICOS,E770      DEFECTOS EN LA MODIFICACION POSTRASLACIONAL DE ENZIMAS LISOSOMALES
E771,DEFECTOS DE LA DEGRADACION DE GLUCOPROTEINAS,TRASTORNOS METABÓLICOS,E771      DEFECTOS DE LA DEGRADACION DE GLUCOPROTEINAS
E778,OTROS TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS,TRASTORNOS METABÓLICOS,E778      OTROS TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEINAS
E779,TRASTORNO DEL METABOLISMO DE LAS GLUCOPROTEINAS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E779      TRASTORNO DEL METABOLISMO DE LAS GLUCOPROTEINAS NO ESPECIFICADO
E78,TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS,TRASTORNOS METABÓLICOS,E78       TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS
E780,HIPERCOLESTEROLEMIA PURA,TRASTORNOS METABÓLICOS,E780      HIPERCOLESTEROLEMIA PURA
E781,HIPERGLICERIDEMIA PURA,TRASTORNOS METABÓLICOS,E781      HIPERGLICERIDEMIA PURA
E782,HIPERLIPIDEMIA MIXTA,TRASTORNOS METABÓLICOS,E782      HIPERLIPIDEMIA MIXTA
E783,HIPERQUILOMICRONEMIA,TRASTORNOS METABÓLICOS,E783      HIPERQUILOMICRONEMIA
E784,OTRA HIPERLIPIDEMIA,TRASTORNOS METABÓLICOS,E784      OTRA HIPERLIPIDEMIA
E785,HIPERLIPIDEMIA NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E785      HIPERLIPIDEMIA NO ESPECIFICADA
E786,DEFICIENCIA DE LIPOPROTEINAS,TRASTORNOS METABÓLICOS,E786      DEFICIENCIA DE LIPOPROTEINAS
E788,OTROS TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS,TRASTORNOS METABÓLICOS,E788      OTROS TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS
E789,TRASTORNO DEL METABOLISMO DE LAS LIPOPROTEINAS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E789      TRASTORNO DEL METABOLISMO DE LAS LIPOPROTEINAS NO ESPECIFICADO
E79,TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS,TRASTORNOS METABÓLICOS,E79       TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS
E790,HIPERURICEMIA SIN SIGNOS DE ARTRITIS INFLAMATORIA Y ENFERMEDAD TOFACEA,TRASTORNOS METABÓLICOS,E790      HIPERURICEMIA SIN SIGNOS DE ARTRITIS INFLAMATORIA Y ENFERMEDAD TOFACEA
E791,SINDROME DE LESCH-NYHAN,TRASTORNOS METABÓLICOS,E791      SINDROME DE LESCH-NYHAN
E798,OTROS TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS,TRASTORNOS METABÓLICOS,E798      OTROS TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE LAS PIRIMIDINAS
E799,TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE PIRIMIDINAS NO ESPECIFICADOS,TRASTORNOS METABÓLICOS,E799      TRASTORNOS DEL METABOLISMO DE LAS PURINAS Y DE PIRIMIDINAS NO ESPECIFICADOS
E80,TRASTORNOS DEL METABOLISMO DE LAS PORFIRINAS Y DE LA BILIRRUBINA,TRASTORNOS METABÓLICOS,E80       TRASTORNOS DEL METABOLISMO DE LAS PORFIRINAS Y DE LA BILIRRUBINA
E800,PORFIRIA ERITROPOYETICA HEREDITARIA,TRASTORNOS METABÓLICOS,E800      PORFIRIA ERITROPOYETICA HEREDITARIA
E801,PORFIRIA CUTANEA TARDIA,TRASTORNOS METABÓLICOS,E801      PORFIRIA CUTANEA TARDIA
E802,OTRAS PORFIRIAS,TRASTORNOS METABÓLICOS,E802      OTRAS PORFIRIAS
E803,DEFECTOS DE CATALASA Y PEROXIDASA,TRASTORNOS METABÓLICOS,E803      DEFECTOS DE CATALASA Y PEROXIDASA
E804,SINDROME DE GILBERT,TRASTORNOS METABÓLICOS,E804      SINDROME DE GILBERT
E805,SINDROME DE CRIGLER-NAJJAR,TRASTORNOS METABÓLICOS,E805      SINDROME DE CRIGLER-NAJJAR
E806,OTROS TRASTORNOS DEL METABOLISMO DE LA BILIRRUBINA,TRASTORNOS METABÓLICOS,E806      OTROS TRASTORNOS DEL METABOLISMO DE LA BILIRRUBINA
E807,TRASTORNO DEL METABOLISMO DE LA BILIRRUBINA NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E807      TRASTORNO DEL METABOLISMO DE LA BILIRRUBINA NO ESPECIFICADO
E83,TRASTORNOS DEL METABOLISMO DE LOS MINERALES,TRASTORNOS METABÓLICOS,E83       TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E830,TRASTORNOS DEL METABOLISMO DEL COBRE,TRASTORNOS METABÓLICOS,E830      TRASTORNOS DEL METABOLISMO DEL COBRE
E831,TRASTORNOS DEL METABOLISMO DEL HIERRO,TRASTORNOS METABÓLICOS,E831      TRASTORNOS DEL METABOLISMO DEL HIERRO
E832,TRASTORNOS DEL METABOLISMO DEL ZINC,TRASTORNOS METABÓLICOS,E832      TRASTORNOS DEL METABOLISMO DEL ZINC
E833,TRASTORNOS DEL METABOLISMO DEL FOSFORO,TRASTORNOS METABÓLICOS,E833      TRASTORNOS DEL METABOLISMO DEL FOSFORO
E834,TRASTORNOS DEL METABOLISMO DEL MAGNESIO,TRASTORNOS METABÓLICOS,E834      TRASTORNOS DEL METABOLISMO DEL MAGNESIO
E835,TRASTORNOS DEL METABOLISMO DEL CALCIO,TRASTORNOS METABÓLICOS,E835      TRASTORNOS DEL METABOLISMO DEL CALCIO
E838,OTROS TRASTORNOS DEL METABOLISMO DE LOS MINERALES,TRASTORNOS METABÓLICOS,E838      OTROS TRASTORNOS DEL METABOLISMO DE LOS MINERALES
E839,TRASTORNO DEL METABOLISMO DE LOS MINERALES NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E839      TRASTORNO DEL METABOLISMO DE LOS MINERALES NO ESPECIFICADO
E84,FIBROSIS QUISTICA,TRASTORNOS METABÓLICOS,E84       FIBROSIS QUISTICA
E840,FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES,TRASTORNOS METABÓLICOS,E840      FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES
E841,FIBROSIS QUISTICA CON MANIFESTACIONES INTESTINALES,TRASTORNOS METABÓLICOS,E841      FIBROSIS QUISTICA CON MANIFESTACIONES INTESTINALES
E848,FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES,TRASTORNOS METABÓLICOS,E848      FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES
E849,FIBROSIS QUISTICA SIN OTRA ESPECIFICACION,TRASTORNOS METABÓLICOS,E849      FIBROSIS QUISTICA SIN OTRA ESPECIFICACION
E85,AMILOIDOSIS,TRASTORNOS METABÓLICOS,E85       AMILOIDOSIS
E850,AMILOIDOSIS HEREDOFAMILIAR NO NEUROPATICA,TRASTORNOS METABÓLICOS,E850      AMILOIDOSIS HEREDOFAMILIAR NO NEUROPATICA
E851,AMILOIDOSIS HEREDOFAMILIAR NEUROPATICA,TRASTORNOS METABÓLICOS,E851      AMILOIDOSIS HEREDOFAMILIAR NEUROPATICA
E852,AMILOIDOSIS HEREDOFAMILIAR NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E852      AMILOIDOSIS HEREDOFAMILIAR NO ESPECIFICADA
E853,AMILOIDOSIS SISTEMICA SECUNDARIA,TRASTORNOS METABÓLICOS,E853      AMILOIDOSIS SISTEMICA SECUNDARIA
E854,AMILOIDOSIS LIMITADA A UN ORGANO,TRASTORNOS METABÓLICOS,E854      AMILOIDOSIS LIMITADA A UN ORGANO
E858,OTRAS AMILOIDOSIS,TRASTORNOS METABÓLICOS,E858      OTRAS AMILOIDOSIS
E859,AMILOIDOSIS NO ESPECIFICADA,TRASTORNOS METABÓLICOS,E859      AMILOIDOSIS NO ESPECIFICADA
E86,DEPLECION DEL VOLUMEN,TRASTORNOS METABÓLICOS,E86       DEPLECION DEL VOLUMEN
E87,OTROS TRASTORNOS DE LIQUIDOS ELECTROLITOS Y DEL EQUIPO ACIDO BASICO,TRASTORNOS METABÓLICOS,E87       OTROS TRASTORNOS DE LIQUIDOS ELECTROLITOS Y DEL EQUIPO ACIDO BASICO
E870,HIPEROSMOLARIDAD E HIPERNATREMIA,TRASTORNOS METABÓLICOS,E870      HIPEROSMOLARIDAD E HIPERNATREMIA
E871,HIPOSMOLARIDAD E HIPONATREMIA,TRASTORNOS METABÓLICOS,E871      HIPOSMOLARIDAD E HIPONATREMIA
E872,ACIDOSIS,TRASTORNOS METABÓLICOS,E872      ACIDOSIS
E873,ALCALOSIS,TRASTORNOS METABÓLICOS,E873      ALCALOSIS
E874,TRASTORNOS MIXTOS DEL BALANCE ACIDO-BASICO,TRASTORNOS METABÓLICOS,E874      TRASTORNOS MIXTOS DEL BALANCE ACIDO-BASICO
E875,HIPERPOTASEMIA,TRASTORNOS METABÓLICOS,E875      HIPERPOTASEMIA
E876,HIPOPOTASMIA,TRASTORNOS METABÓLICOS,E876      HIPOPOTASMIA
E877,SOBRECARGA DE LIQUIDOS,TRASTORNOS METABÓLICOS,E877      SOBRECARGA DE LIQUIDOS
E878,OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOSNO CLASIFICADOS EN OTRA PARTE,TRASTORNOS METABÓLICOS,E878      OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOSNO CLASIFICADOS EN OTRA PARTE
E88,OTROS TRASTORNOS METABOLICOS,TRASTORNOS METABÓLICOS,E88       OTROS TRASTORNOS METABOLICOS
E880,TRASTORNOS DEL METABOLISMO DE LAS PROTEINAS PLASMATICAS NO CLASIFICADOS EN OTRA PARTE,TRASTORNOS METABÓLICOS,E880      TRASTORNOS DEL METABOLISMO DE LAS PROTEINAS PLASMATICAS NO CLASIFICADOS EN OTRA PARTE
E881,LIPODISTROFIA NO CLASIFICADA EN OTRA PARTE,TRASTORNOS METABÓLICOS,E881      LIPODISTROFIA NO CLASIFICADA EN OTRA PARTE
E882,LIPOMATOSIS NO CLASIFICADA EN OTRA PARTE,TRASTORNOS METABÓLICOS,E882      LIPOMATOSIS NO CLASIFICADA EN OTRA PARTE
E888,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO,TRASTORNOS METABÓLICOS,E888      OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO
E889,TRASTORNO METABOLICO NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E889      TRASTORNO METABOLICO NO ESPECIFICADO
E89,TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE,TRASTORNOS METABÓLICOS,E89       TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
E890,HIPOTIROIDISMO CONSECUTIVO A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E890      HIPOTIROIDISMO CONSECUTIVO A PROCEDIMIENTOS
E891,HIPOINSULINEMIA CONSECUTIVA A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E891      HIPOINSULINEMIA CONSECUTIVA A PROCEDIMIENTOS
E892,HIPOPARATIROIDISMO CONSECUTIVO A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E892      HIPOPARATIROIDISMO CONSECUTIVO A PROCEDIMIENTOS
E893,HIPOPITUITARISMO CONSECUTIVO A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E893      HIPOPITUITARISMO CONSECUTIVO A PROCEDIMIENTOS
E894,INSUFICIENCIA OVARICA CONSECUTIVA A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E894      INSUFICIENCIA OVARICA CONSECUTIVA A PROCEDIMIENTOS
E895,HIPOFUNCION TESTICULAR CONSECUTIVA A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E895      HIPOFUNCION TESTICULAR CONSECUTIVA A PROCEDIMIENTOS
E896,HIPOFUNCION ADRENOCORTICAL MEDULA SUPRARRENAL CONSECUTIVA A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E896      HIPOFUNCION ADRENOCORTICAL MEDULA SUPRARRENAL CONSECUTIVA A PROCEDIMIENTOS
E898,OTROS TRASTORNOS METABOLICOS Y ENDOCRINOS CONSECUTIVOS A PROCEDIMIENTOS,TRASTORNOS METABÓLICOS,E898      OTROS TRASTORNOS METABOLICOS Y ENDOCRINOS CONSECUTIVOS A PROCEDIMIENTOS
E899,TRASTORNO ENDOCRINO Y METABOLICO CONSECUTIVO A PROCEDIMIENTOS NO ESPECIFICADO,TRASTORNOS METABÓLICOS,E899      TRASTORNO ENDOCRINO Y METABOLICO CONSECUTIVO A PROCEDIMIENTOS NO ESPECIFICADO
E90,TRASTORNOS NUTRICIONALES Y METABOLICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,TRASTORNOS METABÓLICOS,E90       TRASTORNOS NUTRICIONALES Y METABOLICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
F00,DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER G30.-+,"ESQUIZOFRENIA,TRASTORNOS ESQUIZOTÍPICOS Y TRASTORNOS DELIRANTES",F00       DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER G30.-+
